[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Tag[ app_begin ] --START--
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004027s ]
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004198s ]
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --START--
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002630s ]
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002765s ]
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --START--
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Run ParseTemplate Behavior [ RunTime:0.090879s ]
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.091104s ]
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --START--
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Run ContentReplace Behavior [ RunTime:0.001394s ]
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Run TokenBuild Behavior [ RunTime:0.001450s ]
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001264s ]
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001702s ]
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006161s ]
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --START--
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001582s ]
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001716s ]
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --START--
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001189s ]
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.099708s ]
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --START--
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Run ParseTemplate Behavior [ RunTime:0.032008s ]
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.009935s ]
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --START--
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Run ContentReplace Behavior [ RunTime:0.000155s ]
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Run TokenBuild Behavior [ RunTime:0.000180s ]
[ 2013-02-18T21:14:54+08:00 ] /Thinkphp_project/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000035s ]
