[ 2013-06-30T11:11:11+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000911s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001026s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001002s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001093s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.006556s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006642s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000468s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.003265s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000487s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000591s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005628s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000508s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000578s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000281s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:-0.013262s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.005112s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.006985s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000094s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000096s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000018s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000129s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.006559s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000192s ]
[ 2013-06-30T11:11:11+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:-0.006474s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000586s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000675s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000439s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000515s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.006768s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006857s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000359s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000376s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000243s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000556s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001725s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000388s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000456s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000068s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:-0.009442s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.003752s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.002714s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000091s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000120s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000019s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000131s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.004823s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000036s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:-0.004889s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000479s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000569s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000450s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000524s ]
