[ 2013-07-01T00:27:25+08:00 ] /ifr_status/ | ERR: (ThinkException) 无法加载模块ifr_status
[ 2013-07-01T00:57:25+08:00 ] /ifr_status/ | ERR: (ThinkException) 无法加载模块ifr_status
[ 2013-07-01T01:27:25+08:00 ] /ifr_status/ | ERR: (ThinkException) 无法加载模块ifr_status
[ 2013-07-01T21:14:37+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-07-01T21:14:37+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000886s ]
[ 2013-07-01T21:14:37+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001005s ]
[ 2013-07-01T21:14:37+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-07-01T21:14:37+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000946s ]
[ 2013-07-01T21:14:37+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001047s ]
[ 2013-07-01T21:14:37+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-07-01T21:14:37+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.029541s ]
[ 2013-07-01T21:14:37+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.029637s ]
[ 2013-07-01T21:14:37+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-07-01T21:14:37+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000553s ]
[ 2013-07-01T21:14:37+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000547s ]
[ 2013-07-01T21:14:37+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000388s ]
[ 2013-07-01T21:14:37+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000629s ]
[ 2013-07-01T21:14:37+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002322s ]
[ 2013-07-01T21:14:37+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-07-01T21:14:37+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000535s ]
[ 2013-07-01T21:14:37+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000609s ]
[ 2013-07-01T21:14:37+08:00 ] /assets/ico/favicon.png | ERR: (ThinkException) 无法加载模块assets
[ 2013-07-01T21:14:37+08:00 ] /assets/ico/favicon.png | ERR: (ThinkException) 无法加载模块assets
[ 2013-07-01T21:14:43+08:00 ] /Index/newsform | INFO: Tag[ route_check ] --START--
